"Vancouver, B.C., Can.",49,13,123,06,9:00 a.m.
"Portland, Ore.",45,31,122,41,9:00 a.m.
"New York, N.Y.",40,47,73,58,12:00 noon
"Miami, Fla.",25,46,80,12,12:00 noon
"Mexico City, Mexico",19,26,99,7,11:00 a.m.
"Los Angeles, Calif.",34,3,118,15,9:00 a.m.
"Toronto, Ont., Can.",43,40,79,24,12:00 noon
"Panama City, Panama", 8, 58,79,32,12:00 noon
"Winnipeg, Man., Can.",49,54,97,7,11:00 a.m.
"Montreal, Que., Can.",45,30,73,35,12:00 noon
"San Francisco, Calif.",37,47,122,26,9:00 a.m.
"Calgary, Alba., Can.",51,1,114,1,10:00 a.m.
"Chicago, Ill.",41,50,87,37,11:00 a.m.
"Halifax, Nova Scotia",44,38,63,34,1
"New Orleans, La.",29,57,90,4,11:00 a.m.
"Saskatoon, SK",52,9,106,43,1
"Guatemala City, Guatemala",14,37,90,31,11:00 a.m
"Santa Fe, N.M.",35,41,105,57,10:00 a.m.
"Austin, Tex.",30,16,97,44,11:00 a.m.
"Edmonton, Alb., Can.",53,34,113,28,10:00 a.m.
"Washington, D.C.",38,53,77,02,12:00 noon
"Phoenix, Ariz.",33,29,112,4,10:00 a.m.
"Atlanta, Ga.",33,45,84,23,12:00 noon
"Seattle, Wash.",47,37,122,20,9:00 a.m.
"Denver, Colo.",39,45,105,0,10:00 a.m.
